municipio;codigo;idhm
Angra dos Reis;3300100;0.724
Aperibé;3300159;0.692
Araruama;3300209;0.718
Areal;3300225;0.684
Armação dos Búzios;3300233;0.728
Arraial do Cabo;3300258;0.733
Barra do Piraí;3300308;0.733
Barra Mansa;3300407;0.729
Belford Roxo;3300456;0.684
Bom Jardim;3300506;0.66
Bom Jesus do Itabapoana;3300605;0.732
Cabo Frio;3300704;0.735
Cachoeiras de Macacu;3300803;0.7
Cambuci;3300902;0.691
Campos dos Goytacazes;3301009;0.716
Cantagalo;3301108;0.709
Carapebus;3300936;0.713
Cardoso Moreira;3301157;0.648
Carmo;3301207;0.696
Casimiro de Abreu;3301306;0.726
Comendador Levy Gasparian;3300951;0.685
Conceição de Macabu;3301405;0.712
Cordeiro;3301504;0.729
Duas Barras;3301603;0.659
Duque de Caxias;3301702;0.711
Engenheiro Paulo de Frontin;3301801;0.722
Guapimirim;3301850;0.698
Iguaba Grande;3301876;0.761
Itaboraí;3301900;0.693
Itaguaí;3302007;0.715
Italva;3302056;0.688
Itaocara;3302106;0.713
Itaperuna;3302205;0.73
Itatiaia;3302254;0.737
Japeri;3302270;0.659
Laje do Muriaé;3302304;0.668
Macaé;3302403;0.764
Macuco;3302452;0.703
Magé;3302502;0.709
Mangaratiba;3302601;0.753
Maricá;3302700;0.765
Mendes;3302809;0.736
Mesquita;3302858;0.737
Miguel Pereira;3302908;0.745
Miracema;3303005;0.713
Natividade;3303104;0.73
Nilópolis;3303203;0.753
Niterói;3303302;0.837
Nova Friburgo;3303401;0.745
Nova Iguaçu;3303500;0.713
Paracambi;3303609;0.72
Paraíba do Sul;3303708;0.702
Paraty;3303807;0.693
Paty do Alferes;3303856;0.671
Petrópolis;3303906;0.745
Pinheiral;3303955;0.715
Piraí;3304003;0.708
Porciúncula;3304102;0.697
Porto Real;3304110;0.713
Quatis;3304128;0.69
Queimados;3304144;0.68
Quissamã;3304151;0.704
Resende;3304201;0.768
Rio Bonito;3304300;0.71
Rio Claro;3304409;0.683
Rio das Flores;3304508;0.68
Rio das Ostras;3304524;0.773
Rio de Janeiro;3304557;0.799
Santa Maria Madalena;3304607;0.668
Santo Antônio de Pádua;3304706;0.718
São Fidélis;3304805;0.691
São Francisco de Itabapoana;3304755;0.639
São Gonçalo;3304904;0.739
São João da Barra;3305000;0.671
São João de Meriti;3305109;0.719
São José de Ubá;3305133;0.652
São José do Vale do Rio Preto;3305158;0.66
São Pedro da Aldeia;3305208;0.712
São Sebastião do Alto;3305307;0.646
Sapucaia;3305406;0.675
Saquarema;3305505;0.709
Seropédica;3305554;0.713
Silva Jardim;3305604;0.654
Sumidouro;3305703;0.611
Tanguá;3305752;0.654
Teresópolis;3305802;0.73
Trajano de Moraes;3305901;0.667
Três Rios;3306008;0.725
Valença;3306107;0.738
Varre-Sai;3306156;0.659
Vassouras;3306206;0.714
Volta Redonda;3306305;0.771
