codigo_rj;idhm
3300100;0.724
3300159;0.692
3300209;0.718
3300225;0.684
3300233;0.728
3300258;0.733
3300308;0.733
3300407;0.729
3300456;0.684
3300506;0.660
3300605;0.732
3300704;0.735
3300803;0.700
3300902;0.691
3300936;0.713
3300951;0.685
3301009;0.716
3301108;0.709
3301157;0.648
3301207;0.696
3301306;0.726
3301405;0.712
3301504;0.729
3301603;0.659
3301702;0.711
3301801;0.722
3301850;0.698
3301876;0.761
3301900;0.693
3302007;0.715
3302056;0.688
3302106;0.713
3302205;0.730
3302254;0.737
3302270;0.659
3302304;0.668
3302403;0.764
3302452;0.703
3302502;0.709
3302601;0.753
3302700;0.765
3302809;0.736
3302858;0.737
3302908;0.745
3303005;0.713
3303104;0.730
3303203;0.753
3303302;0.837
3303401;0.745
3303500;0.713
3303609;0.720
3303708;0.702
3303807;0.693
3303856;0.671
3303906;0.745
3303955;0.715
3304003;0.708
3304102;0.697
3304110;0.713
3304128;0.690
3304144;0.680
3304151;0.704
3304201;0.768
3304300;0.710
3304409;0.683
3304508;0.680
3304524;0.773
3304557;0.799
3304607;0.668
3304706;0.718
3304755;0.639
3304805;0.691
3304904;0.739
3305000;0.671
3305109;0.719
3305133;0.652
3305158;0.660
3305208;0.712
3305307;0.646
3305406;0.675
3305505;0.709
3305554;0.713
3305604;0.654
3305703;0.611
3305752;0.654
3305802;0.730
3305901;0.667
3306008;0.725
3306107;0.738
3306156;0.659
3306206;0.714
3306305;0.771
